Campaign,Business,Total_Days,Train_Days,Test_Days,Avg_CPL,Test_MAE,Test_MAPE,SMA3_MAE,SMA3_MAPE,SMA7_MAE,SMA7_MAPE,Epochs_Trained,Final_Loss,Converged_Early
traffic_source_campaign_name_004,target_business_002,202,149,31,0.20179331432470798,0.23114023235280926,60.09999486047197,0.2091655413133796,71.6806576336002,0.19686774856515257,60.877812498747645,50,0.08897128701210022,True
traffic_source_campaign_name_008,target_business_002,198,191,31,0.179465706165937,0.18136747127493646,73.07644104439572,0.15801871288612,55.09820999222956,0.1577321725380996,50.927306643563576,50,0.014218118973076344,True
traffic_source_campaign_name_016,target_business_002,152,117,24,0.22923808142110044,0.22787743683302106,52.562564446249105,0.17979703476067257,48.37617978497404,0.17187937538168227,45.646314784527696,50,0.04061419889330864,True
traffic_source_campaign_name_025,target_business_002,76,68,12,0.2465011851667905,0.23851586083014498,76.6399119873709,0.15284672577517297,35.801683247735944,0.153048646443829,33.81731358020502,50,0.06236077845096588,True
traffic_source_campaign_name_040,target_business_001,130,114,20,0.3712643452761695,0.12751688289862828,54.95954773047711,0.09663744143905242,43.416695708131314,0.0959633522512028,38.91818054014449,50,0.047063495963811874,True
traffic_source_campaign_name_041,target_business_001,53,38,9,0.14465728296450123,0.4275291383619974,242.73600449900061,0.0480120030007502,28.824020016680592,0.0480120030007502,28.824020016680592,50,0.13881513476371765,True
traffic_source_campaign_name_044,target_business_001,53,38,9,0.2741870994097755,0.2331327200688382,169.84031155784245,0.020862024993624106,16.28184713375799,0.020862024993624106,16.28184713375799,50,0.14000125229358673,True
traffic_source_campaign_name_053,target_business_001,44,67,8,0.2714762607343287,0.612054364572612,243.21779156810402,,,,,50,0.03301897272467613,True
traffic_source_campaign_name_075,target_business_003,56,80,9,0.25023798861550295,0.15917661862188096,56.029701982932544,0.08646805467465439,32.605545598741166,0.08843215447245137,32.962401611454666,50,0.06657937169075012,True
traffic_source_campaign_name_096,target_business_003,65,97,11,0.15144852784296167,0.07528205809240351,105.95813149028015,0.0626398037642833,92.52913768673247,0.06976591603387615,96.02898768178443,50,0.027170591056346893,True
traffic_source_campaign_name_1000,target_business_005,48,66,8,0.3442805579361828,0.014202482002404482,3.0822857702203046,,,,,50,0.031459905207157135,True
traffic_source_campaign_name_1002,target_business_005,51,35,9,0.29793228094718943,0.5698328986100739,125.25387894345721,0.19365926073638323,60.476038089966345,0.19365926073638323,60.476038089966345,50,0.1454603672027588,True
traffic_source_campaign_name_1009,target_business_005,44,105,8,0.2538326133049164,0.5339592720552157,75.65524631671691,,,,,50,0.019763298332691193,True
traffic_source_campaign_name_101,target_business_004,79,55,13,0.3926122060353049,0.46043107898055124,75.3530216945197,0.33843914703667854,66.4243088466819,0.3087995903696533,58.01612440922332,50,0.06755118072032928,True
traffic_source_campaign_name_1010,target_business_005,65,92,11,0.2927688664700683,0.5911813780369792,196.33768029503722,0.29077894708179747,93.38129383873354,0.29077894708179747,93.38129383873354,50,0.05663055181503296,True
traffic_source_campaign_name_1018,target_business_005,78,165,13,0.24151664380083418,0.141099450835427,46.98694943263124,0.09390230564844734,29.352153503664606,0.09188967256499166,27.563913470490874,50,0.009760910645127296,True
traffic_source_campaign_name_1025,target_business_005,123,219,19,0.21625179305370004,0.17044949006057383,53.03577490100436,0.08823710131467222,25.696468144829943,0.0977548482171694,28.5702621881377,50,0.030966995283961296,True
traffic_source_campaign_name_1032,target_business_005,109,76,17,0.5450646853541988,0.20858084352762168,23.48397337082617,0.0787506305804116,9.058454894355467,0.0771209305155641,8.782266843637595,50,0.04171998053789139,True
traffic_source_campaign_name_1033,target_business_005,83,58,13,0.44218518556893527,0.3326507707062281,505.89602278774714,0.26293850774856736,340.32105716237254,0.301001877068622,437.33174822064143,50,0.09883143752813339,True
traffic_source_campaign_name_1034,target_business_005,50,35,8,0.47664878415435114,0.06109209071125893,15.828405320644363,,,,,50,0.1538545787334442,True
traffic_source_campaign_name_1046,target_business_005,50,89,8,0.1838081802464708,0.1597405690415723,57.508668686607386,,,,,50,0.023112798109650612,True
traffic_source_campaign_name_1052,target_business_005,50,93,8,0.30372995612874,0.17139723568245085,42.65915403333809,,,,,50,0.029271000996232033,True
traffic_source_campaign_name_106,target_business_004,172,127,27,0.20322461007110695,0.2245783946113118,100.24181629824507,0.18774644051765638,95.55226768353428,0.15410219377105377,80.3661610165745,50,0.057179197669029236,True
traffic_source_campaign_name_1060,target_business_005,279,315,43,0.2349887566869718,0.053650391069089226,24.26890266017782,0.04716157464396197,19.035912944810317,0.038210370926309904,14.979809725764671,50,0.00905162375420332,True
traffic_source_campaign_name_1064,target_business_004,103,73,16,0.04367038264778654,0.019417794024228604,24.741925457697786,0.0196107562077725,23.877779575379538,0.018220622235388874,20.95995634006327,50,0.012720813974738121,True
traffic_source_campaign_name_1068,target_business_004,71,135,12,0.4694167276170843,0.08659192186119213,29.77464160904123,0.04947382714046422,19.14292238264478,0.06575131286300212,24.872684837707293,50,0.01399221457540989,True
traffic_source_campaign_name_107,target_business_004,107,75,17,0.26609580881660067,0.1890022556942732,47.09752793136167,0.13874173037627516,34.06890283391454,0.12769385542192074,31.568444665609903,50,0.03900451958179474,True
traffic_source_campaign_name_1070,target_business_004,137,106,22,0.379248510449992,0.08983643672351892,16.74818025125817,0.08529801599845774,15.341193134655024,0.08535228647076547,15.67570738464879,50,0.06497994065284729,True
traffic_source_campaign_name_1076,target_business_004,88,246,14,0.5194357282137109,0.1720847749571149,28.360980735291896,0.19427465402266467,34.54154245245504,0.17727358280657354,32.27945687232608,50,0.01120067946612835,True
traffic_source_campaign_name_1082,target_business_004,355,318,54,0.27672506900943644,0.05535296578192491,13.652994023301984,0.050122197735538256,11.922730110597888,0.05079235378305356,11.923917899871675,50,0.011638805270195007,True
